observable_id,pauli_string,group_id,circuit_index,bits,invert
P1162,Y8 Y9 X10 X11,WT_TMP_G0007,0,8;9;10;11,false
P1348,X0 Y1 Y9 X10,WT_TMP_G0007,0,0;1;9;10,false
P1401,X5 X6 X10 X11,WT_TMP_G0007,0,5;6;10;11,false
P1459,X3 X4 X10 X11,WT_TMP_G0007,0,3;4;10;11,false
P1596,X5 X7,WT_TMP_G0007,0,5;7,false
P1611,Y1 Y2 X5 X6,WT_TMP_G0007,0,1;2;5;6,false
P1613,X6 X7 Y8 Y9,WT_TMP_G0007,0,6;7;8;9,false
P1717,Y1 Y2 X3 X4,WT_TMP_G0007,0,1;2;3;4,false
P0822,X0 Z1 Z2 X3 X9 X10,WT_TMP_G0008,0,0;1;2;3;9;10,false
P1089,Z2 Z7,WT_TMP_G0008,0,2;7,false
P1139,Z4 Z11,WT_TMP_G0008,0,4;11,false
P1274,X3 Z5 Z6 Z7 Z8 X9,WT_TMP_G0008,0,3;5;6;7;8;9,false
P1319,X3 Z4 Z5 Z6 Z7 Z8 X9,WT_TMP_G0008,0,3;4;5;6;7;8;9,false
P1343,Z2 Z6,WT_TMP_G0008,0,2;6,false
P1501,Z2 X3 Z4 Z5 Z6 Z7 Z8 X9,WT_TMP_G0008,0,2;3;4;5;6;7;8;9,false
P1514,Z2 Z4,WT_TMP_G0008,0,2;4,false
P1526,X3 Z4 Z5 Z6 Z8 X9,WT_TMP_G0008,0,3;4;5;6;8;9,false
P1582,X3 Z4 Z6 Z7 Z8 X9,WT_TMP_G0008,0,3;4;6;7;8;9,false
P1583,X3 Z4 Z5 Z6 Z7 X9,WT_TMP_G0008,0,3;4;5;6;7;9,false
P1588,X3 Z4 Z5 Z6 Z7 Z8 X9 Z11,WT_TMP_G0008,0,3;4;5;6;7;8;9;11,false
P1591,Z7 Z11,WT_TMP_G0008,0,7;11,false
P1593,X3 Z4 Z5 Z7 Z8 X9,WT_TMP_G0008,0,3;4;5;7;8;9,false
P1627,Z1 X3 Z4 Z5 Z6 Z7 Z8 X9,WT_TMP_G0008,0,1;3;4;5;6;7;8;9,false
P1719,Z6 Z11,WT_TMP_G0008,0,6;11,false
