orbital,energy_hartree,occupation,ligand_population
213,0.37222188900816033,0.0,0.9984779542631381
214,0.3975292218344293,0.0,4.0750487747510364e-05
215,0.4193995327634813,0.0,0.000435622028159064
216,0.4373157892277436,0.0,6.0692015253835685e-06
217,0.509267806030366,0.0,0.9178874750734992
218,0.5403126479516792,0.0,0.09274470701724973
219,0.5443498566303699,0.0,0.014386303758958236
220,0.5777867588045542,0.0,0.9966123921318046
221,0.5913809872740815,0.0,0.4131813273260611
222,0.5933109597388251,0.0,0.9540383846391017
223,0.6295294227273991,0.0,0.017589784217838283
224,0.6455942187752439,0.0,0.9208951732818976
225,0.6502632223234661,0.0,0.4301431092852836
226,0.6521038502586705,0.0,0.5566363482919435
227,0.6587199586739432,0.0,0.7285069885596437
228,0.6602895904972343,0.0,0.29000780075082044
229,0.6656156373152421,0.0,0.07706832247352033
230,0.668775719682507,0.0,0.21766164807838437
231,0.6765673241260948,0.0,0.6286150327456207
232,0.6800293014475377,0.0,0.07497261556600443
233,0.6868584564380509,0.0,0.03671940001118889
234,0.6947880467877958,0.0,0.07214977701889454
235,0.6975342730229407,0.0,0.1270308213458198
236,0.7053876991828739,0.0,0.4214146953847283
237,0.7100961762034529,0.0,0.6525974569626812
238,0.7115880767712705,0.0,0.11380972798140458
239,0.7159927015671403,0.0,0.5385017201564768
240,0.7186486052477992,0.0,0.04367285605118391
241,0.723953904420935,0.0,0.050093654746937236
242,0.7248843120535795,0.0,0.26311313518692
243,0.7329488336086772,0.0,0.7483021192465885
244,0.7341060746995014,0.0,0.9584736109632082
245,0.7388552032774924,0.0,0.6875430348082204
246,0.7416319460431794,0.0,0.28579768006119294
247,0.7455717816621534,0.0,0.07433976241021714
248,0.7556360498270912,0.0,0.5689863052112287
249,0.7590171386816631,0.0,0.4509336786583568
250,0.7619938017829568,0.0,0.2711052640822687
251,0.7646485112025301,0.0,0.8488432366447313
252,0.7672045811917837,0.0,0.17002340989057463
253,0.7714218511038416,0.0,0.896249243107765
254,0.772971211986108,0.0,0.25911432033780096
255,0.7755188236015327,0.0,0.10192504171828787
256,0.7768938554768523,0.0,0.7497540130244169
257,0.7824495666005487,0.0,0.5234474718897169
258,0.7850777531214378,0.0,0.15829838153246956
259,0.7891971172907264,0.0,0.07144609660890223
260,0.7910133805971631,0.0,0.6116285910461763
261,0.7929331197095928,0.0,0.3277156748517267
262,0.7962987652052004,0.0,0.2614693409339927
263,0.8008123116406227,0.0,0.9314259958509522
264,0.8029143034061754,0.0,0.016832939887764246
265,0.8066700154129502,0.0,0.0563291853558415
266,0.810570473328173,0.0,0.699341797055298
267,0.8120065564608181,0.0,0.010155674541536151
268,0.8136304229788919,0.0,0.37266678243314244
269,0.8147100731150323,0.0,0.09620060373510013
270,0.8153713863535446,0.0,0.16161676860199317
271,0.8194861097491166,0.0,0.44171626054334756
272,0.824120164159944,0.0,0.25293254862426956
273,0.8254437982475217,0.0,0.5743239031864454
274,0.8279270473613445,0.0,0.8608496583177916
275,0.8321323045919119,0.0,0.18342010927537825
276,0.8343932107212653,0.0,0.038875729011424554
277,0.8379868040857084,0.0,0.8157534607198034
278,0.8431435912985843,0.0,0.12152313826412466
279,0.848065902243783,0.0,0.1789308151905287
280,0.8508060430115985,0.0,0.3359596812753459
281,0.852237792228393,0.0,0.48473979786179766
