orbital,energy_hartree,occupation,ligand_population
261,0.6657369781126986,0.0,0.22003277805009663
262,0.6666436836501297,0.0,0.5793300712659144
263,0.6765086268616133,0.0,0.14910988798034355
264,0.6789876783376728,0.0,0.20670360075114844
265,0.6836493863084759,0.0,0.14017075962670247
266,0.6873673738136395,0.0,0.6112049461511284
267,0.6925050651387542,0.0,0.5654081064332053
268,0.6943453913293822,0.0,0.15753201662571586
269,0.6959522062049227,0.0,0.43954923041699817
270,0.6990055707554991,0.0,0.2996396762059316
271,0.7010665825595818,0.0,0.7185333481582084
272,0.7029010222250002,0.0,0.09168733931828726
273,0.7101592140228777,0.0,0.9764769890563194
274,0.7113461028905579,0.0,0.18363973962700733
275,0.7119681025914719,0.0,0.31434367287777704
276,0.7191155848930368,0.0,0.5240478453446658
277,0.7200557455110964,0.0,0.173001006796507
278,0.7264036973620609,0.0,0.8398212250039754
279,0.7334799482207008,0.0,0.356459798188101
280,0.7337759893881147,0.0,0.3979535844469177
281,0.7367501867720723,0.0,0.268907285149304
282,0.74433562652839,0.0,0.8849894989742443
283,0.7465095966444286,0.0,0.09420741208167958
284,0.7473976766782471,0.0,0.5679542728441419
285,0.7496291947534497,0.0,0.8307428007582298
286,0.7513872060516686,0.0,0.29628020957052764
287,0.7529541441289761,0.0,0.06224350069588999
288,0.7579846133103053,0.0,0.47694009074774074
289,0.7590367927354469,0.0,0.5815010797193579
290,0.7618331732492587,0.0,0.3475999658122298
291,0.7640741745118604,0.0,0.12788240707577903
292,0.7672837198686195,0.0,0.07078109699385468
293,0.7706386372324758,0.0,0.07752837582646847
294,0.7726798913879729,0.0,0.05566311144726467
295,0.7754053020856427,0.0,0.3394121819629273
296,0.7767370052616553,0.0,0.3697091024399846
297,0.7780678324169983,0.0,0.3564974409230021
298,0.7841442688864048,0.0,0.9035158432538076
299,0.7916883647086994,0.0,0.28438323539889127
300,0.7974272552088877,0.0,0.6474880583038112
301,0.8005273458895004,0.0,0.07813174400184111
302,0.8020016165952175,0.0,0.0809404910912426
303,0.8043687181152419,0.0,0.8305165576257139
304,0.809752888894544,0.0,0.048190741160971474
305,0.813145411443208,0.0,0.009173034025413179
306,0.8192467655159776,0.0,0.02826260770076162
307,0.8208686252900799,0.0,0.02583935121227146
308,0.8222113671845276,0.0,0.03406168455067943
309,0.8283649317936194,0.0,0.9423301092110082
310,0.8323976394619497,0.0,0.041132591629159825
311,0.8379508534060611,0.0,0.09120120433284619
312,0.8415532977394465,0.0,0.16372866511154127
313,0.8457524830317624,0.0,0.24569369016313528
314,0.847461403576292,0.0,0.4245199948152215
315,0.848519748699528,0.0,0.0004257903335608137
316,0.8496154500186114,0.0,0.02933026270428437
317,0.8540951651018689,0.0,0.07931761413391836
318,0.8635001060431695,0.0,0.05351297613820921
319,0.8729535371305399,0.0,0.12833933840373424
320,0.8772153345534242,0.0,0.10367983282099306
321,0.8794060541191399,0.0,0.08264632645032634
322,0.886152738844989,0.0,0.015239442686763607
323,0.8941166660439537,0.0,0.4571511322499295
324,0.8971041890318887,0.0,0.592455433313758
325,0.914139776678552,0.0,0.2821145596279609
326,0.9158643027224613,0.0,0.678569991160508
327,0.9176144158168016,0.0,0.2393999007142817
328,0.9290497631389096,0.0,0.006557401117996129
329,0.9340793100838636,0.0,0.009813082234559147
330,0.9362142882867841,0.0,0.8975399096941803
331,0.9420297300762464,0.0,0.529250106342943
332,0.9448656398502749,0.0,0.5272161107076363
333,0.9466273989839853,0.0,0.006558195336997161
334,0.956542129936194,0.0,0.017533396918787525
335,0.9686412345139289,0.0,0.0004651264213830692
336,0.9763527586079574,0.0,0.615659611822638
337,0.998262752105435,0.0,0.8112978826912346
338,1.0027010374407446,0.0,0.1767301324748715
339,1.026719077475684,0.0,0.0026652523386590243
340,1.0418311270880731,0.0,0.2354793533962714
341,1.0453533662395953,0.0,0.7665238331332406
342,1.09346786043156,0.0,0.5869573753479466
343,1.0977869261667519,0.0,0.41055745020665135
344,1.1058407639352972,0.0,0.0030037413738870965
345,1.1356876935432445,0.0,0.011402937006132409
346,1.1442933740063166,0.0,0.9845145070228839
347,1.1745798838222374,0.0,0.7263855798262995
348,1.1797632121549695,0.0,0.27139287414195834
349,1.201636416276984,0.0,0.0021593894682910707
